labels,scores
0,1.96E-11
0,2.01E-11
0,1.95E-11
0,1.92E-11
0,1.93E-11
0,1.93E-11
0,1.97E-11
0,1.99E-11
0,2.15E-11
0,2.14E-11
0,2.19E-11
0,3.62E-11
0,2.21E-11
0,2.02E-11
0,2.17E-11
0,2.42E-11
0,2.24E-11
0,2.62E-11
0,2.26E-11
0,2.27E-11
0,2.05E-11
0,2.11E-11
0,1.92E-11
0,1.93E-11
0,1.90E-11
0,1.92E-11
0,1.86E-11
0,2.01E-11
0,1.92E-11
0,1.94E-11
0,2.45E-11
0,2.13E-11
0,1.87E-11
0,2.10E-11
0,2.23E-11
0,2.11E-11
0,3.56E-11
0,2.71E-11
0,2.66E-11
0,1.89E-11
0,1.97E-11
0,2.05E-11
0,2.04E-11
0,1.96E-11
0,1.95E-11
0,1.89E-11
0,1.87E-11
0,1.92E-11
0,2.05E-11
0,1.98E-11
0,1.95E-11
0,2.31E-11
0,2.14E-11
0,2.08E-11
0,2.02E-11
0,1.89E-11
0,1.93E-11
0,2.02E-11
0,1.94E-11
0,1.95E-11
0,1.95E-11
0,1.96E-11
0,1.95E-11
0,1.98E-11
0,1.95E-11
0,2.18E-11
0,2.15E-11
0,2.10E-11
0,2.03E-11
0,1.98E-11
0,2.03E-11
0,1.95E-11
0,3.67E-11
0,2.06E-11
0,1.97E-11
0,2.00E-11
0,1.99E-11
0,2.02E-11
0,1.97E-11
0,1.90E-11
0,1.94E-11
0,1.91E-11
0,1.91E-11
0,1.92E-11
0,2.02E-11
0,2.06E-11
0,2.19E-11
0,2.65E-11
0,2.21E-11
0,2.05E-11
0,2.04E-11
0,2.94E-11
0,6.83E-11
0,5.80E-11
0,2.30E-11
0,2.01E-11
0,1.92E-11
0,1.92E-11
0,1.92E-11
0,1.91E-11
0,1.91E-11
0,1.92E-11
0,2.12E-11
0,2.02E-11
0,2.26E-11
0,2.01E-11
0,2.57E-11
0,2.12E-11
0,2.09E-11
0,3.33E-11
0,3.19E-11
0,2.46E-11
0,2.29E-11
0,2.38E-11
0,3.58E-11
0,1.90E-11
0,1.91E-11
0,1.92E-11
0,1.92E-11
0,1.92E-11
0,1.91E-11
0,1.91E-11
0,1.91E-11
0,1.97E-11
0,1.92E-11
0,1.93E-11
0,2.15E-11
0,2.18E-11
0,2.04E-11
0,2.23E-11
0,2.10E-11
0,2.07E-11
0,2.02E-11
0,4.36E-11
0,2.09E-11
0,2.12E-11
0,2.18E-11
0,1.86E-11
0,1.88E-11
0,1.89E-11
0,1.90E-11
0,1.90E-11
0,1.91E-11
0,1.91E-11
0,1.91E-11
0,1.96E-11
0,1.97E-11
0,1.92E-11
0,1.90E-11
0,2.06E-11
0,2.07E-11
0,2.00E-11
0,2.14E-11
0,1.99E-11
0,2.10E-11
0,1.99E-11
0,2.09E-11
0,2.30E-11
0,2.24E-11
0,2.00E-11
0,1.96E-11
0,2.01E-11
0,1.92E-11
0,1.86E-11
0,1.85E-11
0,1.88E-11
0,1.91E-11
0,2.00E-11
0,1.91E-11
0,1.93E-11
0,1.93E-11
0,2.03E-11
0,2.10E-11
0,1.95E-11
0,2.10E-11
0,1.96E-11
0,2.02E-11
0,1.91E-11
0,1.90E-11
0,1.92E-11
0,1.86E-11
0,1.86E-11
0,1.86E-11
0,1.87E-11
0,1.89E-11
0,1.90E-11
0,1.91E-11
0,1.86E-11
0,1.92E-11
0,1.94E-11
0,1.92E-11
0,1.96E-11
0,1.88E-11
0,2.01E-11
0,2.04E-11
0,2.06E-11
0,2.07E-11
0,1.99E-11
0,1.89E-11
0,2.17E-11
0,2.03E-11
0,1.84E-11
0,1.90E-11
0,1.97E-11
0,1.92E-11
0,1.94E-11
0,1.91E-11
0,1.86E-11
0,1.86E-11
0,1.88E-11
0,1.90E-11
0,1.86E-11
0,1.97E-11
0,1.96E-11
0,1.96E-11
0,1.96E-11
0,2.03E-11
0,2.01E-11
0,2.02E-11
0,1.95E-11
0,1.91E-11
0,1.92E-11
0,1.94E-11
0,1.96E-11
0,7.14E-11
0,2.68E-11
0,2.23E-11
0,1.88E-11
0,1.85E-11
0,1.86E-11
0,1.90E-11
0,1.92E-11
0,1.91E-11
0,1.91E-11
0,1.98E-11
0,1.98E-11
0,1.98E-11
0,1.97E-11
0,1.98E-11
0,1.99E-11
0,2.01E-11
0,2.01E-11
0,2.00E-11
0,2.05E-11
0,2.16E-11
0,2.13E-11
0,1.99E-11
0,1.97E-11
0,1.94E-11
0,1.91E-11
0,1.96E-11
0,1.88E-11
0,1.88E-11
0,1.88E-11
0,4.12E-11
0,1.89E-11
0,1.87E-11
0,1.91E-11
0,1.93E-11
0,1.84E-11
0,1.90E-11
0,1.86E-11
0,1.87E-11
0,1.92E-11
0,1.91E-11
0,1.89E-11
0,1.99E-11
0,1.99E-11
0,1.98E-11
0,2.01E-11
0,2.04E-11
0,2.02E-11
0,1.91E-11
0,1.86E-11
0,1.97E-11
0,2.06E-11
0,2.18E-11
0,3.22E-11
0,1.90E-11
0,1.92E-11
0,1.92E-11
0,1.90E-11
0,1.88E-11
0,1.84E-11
0,2.02E-11
0,1.86E-11
0,1.86E-11
0,1.91E-11
0,1.89E-11
0,1.99E-11
0,1.99E-11
0,1.99E-11
0,1.99E-11
0,1.99E-11
0,2.00E-11
0,2.04E-11
0,2.08E-11
0,1.98E-11
0,2.08E-11
0,1.98E-11
0,1.88E-11
0,1.90E-11
0,2.40E-11
0,3.72E-11
0,3.59E-11
0,3.32E-11
0,3.06E-11
0,2.26E-11
0,2.08E-11
0,1.90E-11
0,1.92E-11
0,1.88E-11
0,1.85E-11
0,1.86E-11
0,1.86E-11
0,1.86E-11
0,2.13E-11
0,1.86E-11
0,1.88E-11
0,1.90E-11
0,1.91E-11
0,1.91E-11
0,1.89E-11
0,2.00E-11
0,2.00E-11
0,2.00E-11
0,2.00E-11
0,2.00E-11
0,1.99E-11
0,2.04E-11
0,2.02E-11
0,1.83E-11
0,3.23E-11
0,2.82E-11
0,2.17E-11
0,1.98E-11
0,1.96E-11
0,2.05E-11
0,1.93E-11
0,1.89E-11
0,2.12E-11
0,1.86E-11
0,1.86E-11
0,1.87E-11
0,2.10E-11
0,2.00E-11
0,2.00E-11
0,1.99E-11
0,1.97E-11
0,2.06E-11
0,2.07E-11
0,1.87E-11
0,1.85E-11
0,1.89E-11
0,1.93E-11
0,2.11E-11
0,1.91E-11
0,1.92E-11
0,1.86E-11
0,1.86E-11
0,1.87E-11
0,2.06E-11
0,1.91E-11
0,2.15E-11
0,1.99E-11
0,2.03E-11
0,1.98E-11
0,2.05E-11
0,2.19E-11
0,2.11E-11
0,2.00E-11
0,1.89E-11
0,1.92E-11
0,1.92E-11
0,2.30E-11
0,3.19E-11
0,3.21E-11
0,1.92E-11
0,1.86E-11
0,1.91E-11
0,1.93E-11
0,2.00E-11
0,1.99E-11
0,1.99E-11
0,2.02E-11
0,2.04E-11
0,2.10E-11
0,1.96E-11
0,2.02E-11
0,2.16E-11
0,1.95E-11
0,1.93E-11
0,2.60E-11
0,2.18E-11
0,1.91E-11
0,1.89E-11
0,1.86E-11
0,1.86E-11
0,2.02E-11
0,2.04E-11
0,2.17E-11
0,1.91E-11
0,1.92E-11
0,1.96E-11
0,2.03E-11
0,1.99E-11
0,1.98E-11
0,1.99E-11
0,1.93E-11
0,2.27E-11
0,2.33E-11
0,2.40E-11
0,2.07E-11
0,2.55E-11
0,1.97E-11
0,2.02E-11
0,1.89E-11
0,1.88E-11
0,1.88E-11
0,1.87E-11
0,1.85E-11
0,1.86E-11
0,1.86E-11
0,1.90E-11
0,1.91E-11
0,1.91E-11
0,2.02E-11
0,2.02E-11
0,2.05E-11
0,2.06E-11
0,2.07E-11
0,2.05E-11
0,1.95E-11
0,1.90E-11
0,2.00E-11
0,1.92E-11
0,2.38E-11
0,2.42E-11
0,2.46E-11
0,2.41E-11
0,2.26E-11
0,1.95E-11
0,1.87E-11
0,1.86E-11
0,1.85E-11
0,1.95E-11
0,1.85E-11
0,1.87E-11
0,1.87E-11
0,1.91E-11
0,1.91E-11
0,1.90E-11
0,1.93E-11
0,2.06E-11
0,1.92E-11
0,1.90E-11
0,1.96E-11
0,1.95E-11
0,1.93E-11
0,2.21E-11
0,2.14E-11
0,2.02E-11
0,1.92E-11
0,2.39E-11
0,2.27E-11
0,1.83E-11
0,1.83E-11
0,1.83E-11
0,1.83E-11
0,1.91E-11
0,1.87E-11
0,1.90E-11
0,1.90E-11
0,2.01E-11
0,2.13E-11
0,2.14E-11
0,1.87E-11
0,1.90E-11
0,1.98E-11
0,1.93E-11
0,1.90E-11
0,2.05E-11
0,2.04E-11
0,1.99E-11
0,1.98E-11
0,2.29E-11
0,2.41E-11
0,2.05E-11
0,1.94E-11
0,1.84E-11
0,1.83E-11
0,1.83E-11
0,1.83E-11
0,1.83E-11
0,1.83E-11
0,1.84E-11
0,1.89E-11
0,1.83E-11
0,1.90E-11
0,2.06E-11
0,1.89E-11
0,2.04E-11
